TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;6,22;;-10,95;0,89;0,33;27,68;9,63;-7,04;8,01;10,73;2,72;0,30;0,77;33,34;-0,44;1,04;-8,17;-3,01;6,82;0,37;0,62;0,43;2,55;;352.389,45;6,95;-0,57;0,18;947.675.978,04
ABCB4;22,70;8,57;5,74;0,84;0,09;21,67;12,42;10,32;4,77;4,77;;;0,59;-2,42;-0,09;0,20;14,71;1,56;;0,11;0,89;0,15;35,11;14,24;6.753.206,73;26,90;3,96;0,59;5.553.710.653,90
ABEV3;12,35;8,51;13,20;2,11;1,37;51,50;25,06;16,08;8,47;7,84;-0,63;-0,16;2,12;49,66;-1,92;1,11;15,95;10,38;18,73;0,65;0,34;0,65;11,20;4,60;302.943.922,23;5,87;0,94;5,33;194.656.238.636,60
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;4,13;;-0,22;-4,04;0,13;5,17;-87,08;-112,32;-0,29;-2,10;-1,81;;0,25;1,17;-0,20;1,41;-1.823,36;-56,67;-58,22;-0,03;1,03;0,50;12,70;;494.478,50;-1,02;-18,65;0,00;256.556.409,48
AESB3;8,12;;-17,01;1,70;0,37;27,59;23,00;-10,02;7,41;18,23;10,82;2,49;1,70;-15,45;-0,42;0,84;-10,02;-2,15;5,10;0,21;0,73;0,21;;;13.684.494,00;4,76;-0,48;-0,08;6.973.842.690,64
AFLT3;7,37;5,82;17,80;1,93;1,32;54,38;48,60;34,47;12,63;12,83;0,20;0,03;6,14;9,73;-1,74;2,24;10,86;7,40;11,23;0,68;0,32;0,21;17,36;0,67;1.831,25;3,81;0,41;-2,50;464.934.239,00
AGRO3;20,55;7,57;15,29;0,97;0,55;28,86;17,49;11,78;10,29;15,91;5,62;0,53;1,80;4,06;-0,79;1,79;6,34;3,60;4,20;0,57;0,43;0,31;10,70;2,91;2.303.759,05;21,21;1,34;-0,39;2.110.144.774,20
AGXY3;5,72;;-0,03;-0,05;0,03;-4,18;-59,21;-86,99;-0,05;-0,68;-0,63;;0,03;-0,03;-0,06;0,33;-145,31;-83,71;433,24;-0,58;1,58;0,96;24,29;;101.236,59;-118,43;-172,09;0,00;97.065.946,12
AHEB3;31,95;;2,63;1,09;0,50;19,41;12,54;15,36;3,22;3,15;-0,11;-0,04;0,40;1,54;-0,89;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;3.195,00;29,44;12,15;-0,15;276.112.605,15
